Chunestudy feels at home as CHC curator - ᏣᎳᎩ,Chunestudy feels at home as CHC curator
"ᏂᎬᏯᎢᏎᏍᏗ, ᎠᎭᏂ Heritage Center, ᎠᎴ ᎾᏍᎩ ᎤᎾᏓᏠᏒᎢ ᏧᎾᏟᎶᏍᏔᎾᎾᎢ ᎬᏂᎨᏒᎢ ᏄᏍᏕᏍᏗ ᏱᎪᎯᏓ ᎠᏍᏆᎵᏍᎨᏍᏗ Trail of Tears Art Show.”","So it will run concurrent, here at the Heritage Center, and the winners’ art will be up for the duration of the Trail of Tears Art Show."
"ᎾᏍᎩᏃ ᏧᏚᎵᏍᎨᎢ ᎾᏍᎩ ᎠᎦᏘᏱ ᏧᎸᏫᏍᏓᏁᏗᎢ, Chunestudy ᎢᎧᏃᎮᏍᎬᎢ ᏂᎪᎯᎸᏃ ᎤᎸᏉᏕᎢ ᏧᏍᏕᎸᎡᏗᎢ ᏗᏍᏆᏂᎪᏔᏅᎢ ᎠᎴ ᎬᏂᎨᏒᎢ ᏣᎳᎩ ᎢᏳᏛᏅᎵᏓᏍᏗᎢ.","”As for why she wanted the curator job, Chunestudy said she’s always been interested in helping preserve and showcase Cherokee culture."
“ᏗᏟᎶᏍᏔᏅᏅᏃ ᎢᎦᏃ ᎣᏍᏓ ᎾᏍᎩᏃ ᏂᏗᎦᎵᏍᏙᏗᎭ ᎾᏂᎥᏃᏍ ᏯᏂᎪᏩᏔ ᏄᏬᏚᏒᎢ.,“Art is a great way to do that because everyone can find common ground in beauty.
CHC ᏄᎬᏫᏳᏒ Candessa Tehee ᎢᏳᏪᏛ ᎾᏍᎩᏃ Ꮎ CHC ᎣᏏ Chunestudy ᏏᏊ ᏧᎴᏅᎲ ᏚᎸᏫᏍᏓᏁᎲᎢ.,CHC Executive Director Candessa Tehee said the CHC is fortunate to have Chunestudy join the staff again.
"“ᎾᏍᎩᏃ ᎤᏂᏔ ᏧᎶᏌ ᎣᏍᏓ ᏗᎾᏟᎶᏍᏔᏅᎲᏍᎩ ᎠᎴᎪᏟᎬᎢ ᎠᏂᏣᎳᎩ ᏧᎾᏛᏁᎸᏍᏔᏅᎢ ᎠᎴ ᏗᏍᎦᏚᎩ ᎠᎴ ᎾᏍᎩ ᏄᏍᏛᎢ ᏕᎤᎲᎢ,” ᎠᏗᏍᎬᎢ Tehee.","“She has a background in fine arts yet brings a deep understanding of Cherokee culture and communities with her to the position,” Tehee said."
“ᎾᏍᎩᏃ ᎤᎸᏉᏛᎢ ᏣᎳᎩ ᏗᏟᎶᏍᏔᏅᏅᎢ ᏧᎾᏛᏁᎸᏍᏔᏅᎢ ᎾᏍᎩ ᎬᏂᎨᏒᎢ ᏂᎦᎵᏍᏗᎭ ᎾᏛᏁᎲᎢ ᏴᎪᏩᏔ ᏚᎸᏫᏍᏓᏁᎲᎢ ᎠᎴ ᎣᏍᏓ ᎢᏳᎵᏍᏓᏁᏗᎢ ᎤᏩᎬᏗᏗᏒᎢ ᎥᎿᎾᏂ CHC.,“Her enthusiasm for Cherokee art traditions is evident in her approach to her work and she has a bright future with the CHC.”The CHC is located at 21192 S. Keeler Drive.
”ᎾᏍᎩᏃ CHC ᎥᎿ ᏧᏙᏢᎭ 21192 S. Keeler Drive. 9 a.m. to 5 p.m. ᎤᎾᏙᏓᏉᏅᎢ ᎤᎾᏙᏓᏈᏕᎾ ᏂᏛᏓᎴᏂᏍᎩ ᏕᎭᎷᏱ 15 ᏚᎵᏍᏗ 15 ᏱᎪᎯᏓ ᎠᏍᎢᏐᎢ.,It is open from 9 a.m. to 5 p.m. Tuesday through Saturday from Sept. 16 until June 14 and from 9 a.m. to 5 p.m. Monday through Saturday from June 15 to Sept. 15.
"ᏐᏉ ᎢᏳᏩᎦᏘ, ᏥᏫᎾ ᏥᎨᎲ, ᎣᎩᎾᎵᎪᏓ ᎡᎲ ᎠᎨᏳᏣ.","Once when I was a young man, I had a girlfriend."
"ᏫᏥᎪᏩᏛᏗ ᎨᏒ, ᎢᏳᏓᎵᎭ ᏧᏪᏅᏒ.",Once in a while I would go visit her at her house.
"Ꮶ ᎢᏳᏟᎶᏓ ᎾᎥ, ᏧᏪᏅᏒ ᎨᎲ.",She lived about three miles away.
"ᎾᏗᏍᏊ, ᏒᎯᏰ ᏱᏄᎵᏍᏓᏅ ᏃᏉ ᎨᎪ, ᏧᎾᏕᎶᏆᏍᏗ ᏚᏂᏰᎵᏒ, ᎨᎪᏗ ᏒᏃᏱ ᎢᎪᎯᏓ ᏫᎨᏙᎰ.","In the evening I would leave, after school was finished, I would go and stay late into the night."
ᎠᎾᏓᏴᎳᏘᏍᎩ ᏙᏍᏗᎦᏙᏍᏙ Ꮓ; ᎪᎱᏍᏗ ᎠᎾᏛᏁᎵᏍᎬ ᏒᏃ ᎢᎪᎯᏓ.,"She and I would watch television; whatever they were doing on there, until really late in the night."
"ᏅᎯᏍᏊ ᏙᎯᏳᏍᏊ, ᏥᏫᎾᏭ ᎨᏒ ᎠᏎᏏᏂᏍᏊ, ᎠᏆᏍᎦᏰᏂᏍᏊ ᏥᎨᏒ.","I was just a young man, but I was real cowardly."
"ᏒᏃᏱ ᏱᏄᎵᏍᏔᏅ ᏃᏊ, ᎢᎾᎨ ᎠᏇᏓᏍᏗ ᎠᎴ - ᎠᏋᏌ ᎠᏇᏓᏍᏗ.","When night came, I had to walk through the woods alone."
"ᎠᏆᏍᎦᏰᎾ ᏥᎨᎲ ᎠᏎᏍᎩᏂ, Ꮓ, ᏲᎵᎪ, ᎩᎶ…","I was scared, but when you’re dating someone…"
"ᎠᏧᏣ ᏱᎩ; ᎠᏫᎾ ᎠᎴ ᏱᎩ; ᏲᎵᎪ ᎠᎨᏳᏣ, ᎤᏬᏟᏗ ᎨᏐ Ꮓ, ᏣᎳᏣᏯᏍᏗ ᎣᏤᎸᏍᎪ ᏂᎪᎯᎸᏫᏳᏍᏗ.","if you’re a boy, or a young man, dating a girl, it’s kind of funny, you pretend to be brave all the time."
"ᎠᏎᏃ, ᏐᏉ ᎢᏳᏩᎦᏘ, ᏒᏃᏱ, ᏍᏊ ᎤᏴᏣ ᏥᎨᏒ ᎠᏎᏍᎩᏂ, ᏛᏆᏂᎩᏒ, ᏕᎦᏁᎸ ᏒᏃᏱ, ᏔᎵᏚ ᎾᏎ ᎾᎥ ᎨᏒ.","But one night, it was cold, but I left her house that night close to midnight."
"ᏃᏗᏍ ᎠᎦᏍᎬ ᎤᏴᏨ ᎠᎦᏍᎬ ᏃᎴᏍᏊ, ᎪᎯᏴ ᎠᏫᏴ ᎠᏆᏂᎩᏓ ᏃᏊ ᎤᎴᎾᎲ ᎫᏘᏍᎬ.","It was cold and rainy, and after I had walked for a bit, it started it snowing."
ᎠᏗᏍ ᎦᎢᏒ ᎠᏰᏟ Ꮓ ᎢᏴ ᎠᏴ ᏗᏥᏁᎸ ᏃᎴ ᎤᎿ ᏗᎦᎴᏅ Ꮎ ᎠᎨᏳᏣ ᎠᏰᏟ ᎢᏴ ᎪᏢᏒ ᎭᎸ ᎢᎳᎯ ᎢᎸᎯᏳ ᏥᎨᏒ ᎤᎾᏁᎵᏛ ᎩᎶ.,"And so as I was walking halfway between where I lived and where her place was, halfway there, a long time ago, someone lived there."
ᎠᏗᏍᎩᎳ ᎠᏁᎰ ᎭᎾᏛᏅ ᎤᎿᏯ ᎠᎾᏗᎲ ᎢᎸᎯᏳ ᏥᎨᎲ ᎾᎥ ᏩᎩᎶᎯᏍᏗ ᏥᎨᎲ.,"Spirits dwelled there, people said, a long time ago, just right by the building where I needed to pass by."
ᏃᏗ ᏒᏃ ᎤᏓᏱᏐᏚᎢᏍᏊ ᎠᏆᏍᎦᏱ ᎦᏱᏐᏃ ᏃᏗᏍᏊ ᏒᏃᏱ ᏫᎦᎢᏒ ᏙᏳᏍᏊ ᎠᏆᏍᎦᏱᏓ ᏫᎦᎢᏒ.,"And that’s where I was walking that night, really afraid."
ᎪᎱᏍᏗᏗᏍ ᎢᏳᏍᏗ ᎠᏆᏍᏓᏩᏗᏒ ᎠᏆᏕᎳᎰᏒ.,And I felt like there was something following close behind me.
ᎪᎯᏊᏴ ᏆᏧ ᎢᎪᎢ ᎠᏭᏴ ᏩᎩᎶᏒ Ꮎ ᎠᏓᏁᎸ ᎨᏒ ᎾᎥᏂ.,"I realized soon, I passed close by this one nearby building."
"ᏙᏳᏗᏍ ᎠᏎᏛᏎ ᏑᏟᎶᏓ ᎾᎥ, ᏃᏊ ᎤᏔᏅ ᏦᎨᏏ ᏄᏍᏛ.","Really it must have been close to a mile out, there was a big field."
"ᎠᏎᏍᎩᏂᏍᏊ, ᏍᏈᏍᏓᎾᏍᏊ ᎫᏘᏍᎬᏃ.",And it had started snowing a lot.
ᎠᏆᎵᏍᏇᏔᏬ ᎡᎳᏗ ᎾᏆᏅ ᏃᏊᎴ ᎤᎭᎨᏓ ᎦᏌᎴᏂᏍᏊ.,"I pulled my hat low, and I had a thick coat."
ᎯᎾ - ᎨᏙᎩ ᏱᏓᏃᏎᎰ Ꮎ:,This – what do they call this here?
"“ᏕᎦᏂᏱᏣ, ᏓᏂᏏᎾᏔᏅ Ꭿ -“","They say ‘deganiyitsa,’ or ‘danisintanv’ -"
“ᏕᎦᏂᏰᏨ?”,“Deganiyitsv?”
ᎠᏯᏦ?,Or ‘ayatso’?
"ᎥᎥ, ᎪᎱᏍᏗ.","Yeah, something like that."
"ᎠᏎᏍᎩᏂ, ᎦᎸᎾᏗᏣ ᏓᏋᎿ ᎥᏍᎩᏳᏍᏗ, ᎪᎶᏇᏍᏊ ᏥᏁᎲ.","But I had my collar turned up like that, and I was carrying a gun."
"ᎤᏒᏙᏂ, ᎠᏎᏍᎩᏂ ᎠᏆᏍᎦᏱᏓᏃ ᎨᏒ.","It was a shotgun, but I was still scared."
"ᎦᎢᏒ, ᏫᎦᎢᏒ.",I walked and walked.
ᎡᎳᏗᏨ ᏫᏥᎦᏙ.,I was looking downward.
ᏙᎯ ᎦᎢᏒ; ᏍᏈᏍᏓ ᎫᏘᏍᎬ.,I was walking calmly; it was snowing a lot.
ᏥᏍᎦᎲᎾ.,I was terrified.
"ᎾᏗᏍ, ᎦᎢᏒ ᎪᎱᏍᏗ ᎠᏰᏟ ᏅᏃ ᎦᏙᎬ ᎩᎳᏊᏯ ᎪᎯᏓ.","And there, where I was walking, something was suddenly standing in the middle of the road."
ᏥᎪᏩᏘᏍᎬᏭ ᎤᎿ ᎢᎪᎯᏓ ᎪᎱᏍᏗ ᎾᏆᎵᏍᏓᏁᎸ ᎢᎦ ᎢᏯ.,"While I stood there looking at it, something happened to me."
ᎠᏆᏍᎦᏱᏛ ᏄᎵᏍᏔᏅ.,I became really scared.
ᎤᏭᏯᏔ ᎨᏒ ᎪᎱᏍᏗ.,It was something hairy.
ᎤᎦᎿᏩ ᏍᏊ ᎨᏒ.,It was warm too.
Ꮎ ᎠᏰᏟ ᎦᏙᎬ.,It was standing there in the middle of the road
ᎥᎥ… ᎨᏙᎩ ᎠᎾᏗᎰ: ‘ᎤᏥᏯ ᎠᎩᎸᏨ ᎢᏳᏍᏗ ᏄᎵᏍᏔᏅ.’,"Uh, what do they say: ‘like a worm stuck onto me’"
"ᎾᏗᏍ, ᏍᏓᏲᏒ ᏩᏌ ᎠᏇᎷᏅ ᎦᎶᏪ ᏩᏆᏗᏅᏒ ᎾᏱᏄᎳ ᎠᏆᏢᏍᏛᏅ… ᎯᎠ ᎢᏊᏛ ᏴᏩᏒ ᏂᎦᏛᏁᎲ.","And then I screamed and threw the gun into the air, and I ran as fast as I could…like this."
“ᎪᎱᏍᏗᏍ ᎠᏓᏍᎩᎵ ᏰᎪ ᎨᏒ” ᎨᎵᏍᎬ ᏃᏊ.,‘It’s a ghost!’ I thought then.
"Ꭸ ᏩᎩᎷᏨ ᏃᎴ ᎠᏆᎴᏫᏍᏔᏅ ᎠᏆᏔᎲᏒᏃ,",I made it pretty far before I stopped; I turned back and in the distance…
Ꭸ ᏗᎦᏙᎪ ᏐᏈᎵ;,a horse was standing there
Ꮂ…Ꮂ… ᎠᏗᎲ ᎢᎦ ᎤᏍᎦᏱᏓ ᎨᏒ!,he was going ::huff:: ::puff:: ::huff:: because it was so afraid!
"ᏙᎩᎾᏓᏍᎦᏍᏓᏁᎴ Ꮑ ᎠᏰᏟ ᏅᏃ, ᎦᏙᎬ ᎦᏟᎲ.",We had frightened each other as he had been standing in the middle of the road sleeping.
"ᎾᏃ ᏩᎩᎸᏴᏨ ᎠᏯ ᎭᎾ ᏥᎩ, ᎡᏧᎳ ᎣᎩᏂᏓᏂᏴ.",And I bumped smack into him and we both ran away.
ᎥᏍᏈᏯ ᎾᏆᎵᏍᏔᏁᎸ ᏐᏊ ᎢᏳᏩᎦᏘ.,So that’s what happened to me one time.
"ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᏧᏁᏢᏔᏅᏒ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.","The book of the generation of Jesus Christ, the son of David, the son of Abraham."
"ᎡᏆᎭᎻ ᎡᏏᎩ ᎤᏕᏁᎴᎢ; ᎡᏏᎩᏃ ᏤᎦᏈ ᎤᏕᏁᎴᎢ, ᏤᎦᏈᏃ ᏧᏓ ᎠᎴ ᎾᏍᎩ ᎠᎾᏓᏅᏟ ᎬᏩᏕᏁᎴᎢ;",Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brethren;
ᏧᏓᏃ ᏇᎵᏏ ᎠᎴ ᏎᎳ ᎬᏩᏕᏁᎴᎢ ᏖᎹ ᏚᎾᏄᎪᏫᏎᎢ; ᏇᎵᏏᏃ ᎢᏏᎳᎻ ᎤᏕᏁᎴᎢ; ᎢᏏᎳᎻᏃ ᎡᎵᎻ ᎤᏕᏁᎴᎢ;,and Judah begat Perez and Zerah of Tamar; and Perez begat Hezron; and Hezron begat Ram;
ᎡᎵᎻᏃ ᎡᎻᏂᏓᏈ ᎤᏕᏁᎴᎢ; ᎡᎻᏂᏓᏈᏃ ᎾᏐᏂ ᎤᏕᏁᎴᎢ; ᎾᏐᏂᏃ ᏌᎵᎹ ᎤᏕᏁᎴᎢ;,and Ram begat Amminadab; and Amminadab begat Nahshon; and Nahshon begat Salmon;
ᏌᎵᎹᏃ ᏉᏏ ᎤᏕᏁᎴᎢ ᎴᎭᏫ ᎤᎾᎸᎪᏫᏎᎢ; ᏉᏏᏃ ᎣᏇᏗ ᎤᏕᏁᎴᎢ ᎷᏏ ᎤᎾᏄᎪᏫᏎᎢ; ᎣᏇᏗᏃ ᏤᏏ ᎤᏕᏁᎴᎢ;,and Salmon begat Boaz of Rahab; and Boaz begat Obed of Ruth; and Obed begat Jesse;
ᏤᏏᏃ ᏕᏫ ᎤᎬᏫᏳᎯ ᎤᏕᏁᎴᎢ; ᏕᏫᏃ ᎤᎬᏫᏳᎯ ᏐᎵᎹᏅ ᎤᏕᏁᎴᎢ ᏳᎳᏯ ᎤᏓᏴᏛ ᎤᎾᏄᎪᏫᏎᎢ;,and Jesse begat David the king. And David begat Solomon of her that had been the wife of Uriah;
ᏐᎵᎹᏅᏃ ᎶᏉᎹ ᎤᏕᏁᎴᎢ; ᎶᏉᎹᏃ ᎡᏆᏯ ᎤᏕᏁᎴᎢ; ᎡᏆᏯᏃ ᎡᏏ ᎤᏕᏁᎴᎢ;,and Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa;
ᎡᏏᏃ ᏦᏏᏆ ᎤᏕᏁᎴᎢ. ᏦᏏᏆᏃ ᏦᎳᎻ ᎤᏕᏁᎴᎢ; ᏦᎳᎻᏃ ᎣᏌᏯ ᎤᏕᏁᎴᎢ;,and Asa begat Jehoshaphat; and Jehoshaphat begat Joram; and Joram begat Uzziah;
ᎣᏌᏯᏃ ᏦᏓᎻ ᎤᏕᏁᎴᎢ; ᏦᏓᎻᏃ ᎡᎭᏏ ᎤᏕᏁᎴᎢ; ᎡᎭᏏᏃ ᎮᏏᎦᏯ ᎤᏕᏁᎴᎢ;,and Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah;
ᎮᏏᎦᏯᏃ ᎹᎾᏏ ᎤᏕᏁᎴᎢ; ᎹᎾᏏᏃ ᎠᎼᏂ ᎤᏕᏁᎴᎢ; ᎠᎼᏂᏃ ᏦᏌᏯ ᎤᏕᏁᎴᎢ;,and Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah;
ᏦᏌᏯᏃ ᏤᎪᎾᏯ ᎠᎴ ᎠᎾᏓᏅᏟ ᎬᏩᏕᏁᎴᎢ; ᎾᎯᏳ ᏓᏗᎶᏂ ᏥᏫᏗᎨᎦᏘᏅᏍᏔᏁᎢ;,"and Josiah begat Jechoniah and his brethren, at the time of the carrying away to Babylon."
ᏓᏗᎶᏂᏃ ᏫᏗᎨᎦᏘᏃᎸ ᏤᎪᎾᏯ ᏌᎳᏓᏱᎵ ᎤᏕᏁᎴᎢ; ᏌᎳᏓᏱᎵᏃ ᏥᎳᏇᎵ ᎤᏕᏁᎴᎢ;,"And after the carrying away to Babylon, Jechoniah begat Shealtiel; and Shealtiel begat Zerubbabel;"
"ᏥᎳᏇᎵᏃ ᎠᏆᏯᏗ ᎤᏕᏁᎴᎢ, ᎠᏆᏯᏗᏃ ᎢᎳᏯᎩᎻ ᎤᏕᏁᎴᎢ; ᎢᎳᏯᎩᎻᏃ ᎡᏐ ᎤᏕᏁᎴᎢ;",and Zerubbabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
ᎡᏐᏃ ᏎᏙᎩ ᎤᏕᏁᎴᎢ; ᏎᏙᎩᏃ ᎡᎩᎻ ᎤᏕᏁᎴᎢ; ᎡᎩᎻᏃ ᎢᎳᏯᏗ ᎤᏕᏁᎴᎢ;,and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
ᎢᎳᏯᏗᏃ ᎢᎵᎡᏌ ᎤᏕᏁᎴᎢ; ᎢᎵᎡᏌᏃ ᎹᏓᏂ ᎤᏕᏁᎴᎢ; ᎹᏓᏂᏃ ᏤᎦᏈ ᎤᏕᏁᎴᎢ;,and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
"ᏤᎦᏈᏃ ᏦᏩ ᎤᏕᏁᎴᎢ, ᎾᏍᎩ ᎺᎵ ᎤᏰᎯ ᎾᏍᎩ ᏧᎾᏄᎪᏫᏎ ᏥᏌ ᎦᎶᏁᏛ ᏣᏃᎭᎰᎢ.","and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ."
ᎾᏍᎩᏃ ᏂᎦᏛ ᏄᎾᏓᏁᏟᏴᏒ ᎡᏆᎭᎻ ᏤᎮ ᎾᎯᏳ ᏅᏓᎬᏩᏓᎴᏅᏛ ᏕᏫᏃ ᏤᎮ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ; ᏕᏫᏃ ᏤᎮ ᎾᎯᏳ ᏅᎵᎬᏩᏓᎴᏅᏛ ᏓᏗᎶᏂᏃ ᏥᏫᏗᎨᎦᏘᏅᏍᏔᏁ ᎾᎯᏳ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ; ᏓᏗᎶᏂᏃ ᎾᎯᏳ ᏥᏫᏗᎨᎦᏘᏅᏍᏔᏁ ᎤᏓᏳᏓᎴᏅᏛ ᏥᏌᏃ ᏧᏕᏁ ᎾᎯᏳ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ.,So all the generations from Abraham unto David are fourteen generations; and from David unto the carrying away to Babylon fourteen generations; and from the carrying away to Babylon unto the Christ fourteen generations.
"ᎾᏍᎩᏃ ᎯᎠ ᏄᎵᏍᏔᏂᏙᎴ ᎤᏕᏅᏥᏌ ᎦᎶᏁᏛ. ᎾᏍᎩ ᎺᎵ ᏥᏌ ᎤᏥ ᏦᏩ ᎤᏓᏴᏍᏗ, ᎠᏏᏉ ᏂᏓᎾᏤᎬᎾ ᎨᏎᎢ, ᎤᏁᎵᏤ ᎦᎸᏉᏗᏳ ᎠᏓᏅᏙ ᎤᏓᏅᏖᎸᎯ.","Now the birth of Jesus Christ was on this wise: When his mother Mary had been betrothed to Joseph, before they came together she was found with child of the Holy Spirit."
